Resumen generado por la IA,AI keywords,País,URL,Instituciones,Destinatarios,Fecha de cierre,Publicar,Geolocation,Latitude,Longitude,Nombre
Erasmus Mundus UE,"Becas de Maestría, Becas en la Unión Europea",Unión Europea,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-erasmus-mundus-para-maestrias-en-la-union-europea,Erasmus Mundus,Posgrado,,Yes,"51.5074, -0.1278",515.074,-1.278,"Becas para Masters Conjuntos ""Erasmus Mundus"" con la Unión Europea"
OIJ Maestrías Online España,,España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-oij-para-maestrias-online-en-universidades,OIJ (Organización Iberoamericana de Juventud),Posgrado,,No,"41.40338, 2.17403",4.140.338,217.403,Becas del OIJ para maestrías en línea en universidades españolas
Programa Internacional de Líderes Visitantes en Estados Unidos,Becas del Programa Internacional de Líderes Visitantes en Estados Unidos,Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-programa-internacional-de-lideres-visitantes-en,Programa Internacional de Líderes Visitantes en Estados Unidos,No especifica,,No,"38.90719, -77.03738.",3.890.719,-77.03738.,Becas del Programa Internacional de Líderes Visitantes en Estados Unidos
Gob. Italia - Posgrado,"Becas de Maestría, Gobierno de Italia, Posgrado",Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-maestria-del-gobierno-de-italia,Gobierno de Italia,Posgrado,,Yes,"41.9028, 12.4964",419.028,12.4964,Becas de maestría del Gobierno de Italia
"Diplomados y maestrías en la Universidad de Calabria, Italia","Becas para diplomados, Becas para maestrías, Universidad de Calabria",Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-para-diplomados-y-maestrias-en-la-universidad-de,Universidad de Calabria,Posgrado,,No,"41.9028, 12.4964",419.028,12.4964,"Becas para diplomados y maestrías en la Universidad de Calabria, Italia"
Becas doctorales EDUFI en Finlandia -> EDUFI,,Finlandia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-doctorales-edufi-en-finlandia,EDUFI,Posgrado,,No,"60.1699, 24.9384",601.699,249.384,Becas doctorales EDUFI en Finlandia
Univ. Ottawa Argentinos,"Becas De Grado, Becas de posgrado, Canadá, Universidad de Ottawa",Canadá,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-para-argentinosas-en-la-universidad-de-ottawa-canada,Universidad de Ottawa,"Grado, Posgrado",,Yes,"45.42153, -75.69719.",4.542.153,-75.69719.,"Becas para argentinos en la Universidad de Ottawa, Canadá"
Becas de Grado Rusia,"Becas De Grado, Becas de idioma del Gobierno de Rusia, Becas de posgrado",Rusia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-grado-del-gobierno-de-rusia,Gobierno de Rusia,"Grado, Posgrado",,Yes,"55.751244, 37.618423",55.751.244,37.618.423,"Becas de grado, posgrado e idioma del Gobierno de Rusia"
Academia Estudios Coreanos,"Academia de Estudios Coreanos, Becas de posgrado, Corea del Sur",Corea del Sur,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-para-la-academia-de-estudios-coreanos-en-corea-del-sur,Academia de Estudios Coreanos,Posgrado,,Yes,"37.5665, 126.9780",375.665,1.269.780,Becas para la Academia de Estudios Coreanos en Corea del Sur
Estudios parciales en Hungría,Becas de Intercambio,Hungría,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-estatales-bilaterales-para-estudios-parciales,Hungría,"Grado, Posgrado",,Yes,"47.4979, 19.0402",474.979,190.402,Becas estatales bilaterales para estudios parciales en Hungría
Becas estatales bilaterales para visitas de estudio a Hungría -> Visitas de estudio a Hungría,Becas de Intercambio,Hungría,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-estatales-bilaterales-para-visitas-de-estudio,Hungría,"Grado, Posgrado",,Yes,"47.4979, 19.0402",474.979,190.402,Becas estatales bilaterales para visitas de estudio a Hungría
Schwarzman MA Global en Beijing,Becas de Intercambio,China,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-schwarzman-para-master-en-asuntos-globales-en,Schwarzman,Posgrado,,Yes,"39.9042, 116.4074",399.042,1.164.074,"Becas Schwarzman para Maestría en Asuntos Globales en Beijing, China"
Fondos OCSNU,"Becas de posgrado, Cooperación Sur-Sur, Naciones Unidas",Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-sur-sur-para-realizar-maestrias-investigacion,Oficina de Cooperación Sur-Sur de Naciones Unidas,Posgrado,,No,"-34.603722, -58.381592",-34.603.722,-58.381.592,Fondos de la Oficina de Cooperación Sur-Sur de Naciones Unidas
Gran Muralla China,,China,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-unesco-gobierno-de-china-para-estudios-de,UNESCO,Posgrado,,No,"39.9042, 116.4074",399.042,1.164.074,Becas del Programa de la Gran Muralla China de la UNESCO
Proyectos de investigación cotutelados,"Becas de investigación doctoral, Becas del Gobierno de Italia",Italia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-para-proyectos-de-investigacion-cotutelados,Gobierno de Italia,Posgrado,"June 14, 2024",Yes,"41.9028, 12.4964",419.028,12.4964,Becas para proyectos de investigación cotutelados del Gobierno de Italia
Escala Estudiantil para estudiantes de grado,"Becas De Grado, Programa Escala Estudiantil",América Latina y el Caribe,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-grado-del-programa-escala-estudiantil-para,Programa Escala Estudiantil,Grado,,No,"-34.6037, -58.3816",-346.037,-583.816,Programa Escala Estudiantil para estudiantes de grado en América Latina
Asoc. Univ. Iberoamericana PG en Iberoamérica,Becas de Maestría,Iberoamérica,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-la-asociacion-universitaria-iberoamericana,Asociación Universitaria Iberoamericana de Postgrado en Iberoamérica,Posgrado,,No,"-34.6037, -58.3816",-346.037,-583.816,Becas de la Asociación Universitaria Iberoamericana de Postgrado en Iberoamérica
Conv. Becas y Proy. Colab. MCI España,"Becas del Ministerio de Ciencia e Innovación de España, Proyectos de colaboración internacional",España,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-para-grado-y-master-del-ministerio-de-ciencia,Ministerio de Ciencia e Innovación de España,"Grado, Posgrado",,Yes,"41.3851, 2.1734",413.851,2.1734,Convocatorias a becas y a proyectos de colaboración internacional del Ministerio de Ciencia e Innovación de España
GobCol Posgrado,"Becas de posgrado, Gobierno de Colombia",Colombia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-posgrado-del-gobierno-de-colombia,Gobierno de Colombia,Posgrado,,Yes,"4.6483, -74.2479",4.6483,-742.479,Becas de posgrado del Gobierno de Colombia
Becas Víctor Hugo - Univ. Franche-Comté,Becas de Maestría,Francia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-victor-hugo-de-la-universite-de-franche-comte,Université de Franche-Comté,"Grado, Posgrado",,No,"48.8566, 2.3522",488.566,2.3522,Becas Víctor Hugo de la Université de Franche-Comté en Francia
Irish Research Council en Irlanda,"Becas de posgrado, Irish Research Council",Irlanda,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-posgrado-del-irish-research-council-en,Irish Research Council,Posgrado,,No,"53.349805, -6.26031",53.349.805,-626.031,Becas de posgrado del Irish Research Council en Irlanda
UNAM,"Becas Posdoctorales, Universidad Nacional Autónoma de México",México,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-posdoctorales-en-la-universidad-nacional,Universidad Nacional Autónoma de México,Posdoctoral,,Yes,"19.4326, -99.1332",194.326,-991.332,Becas posdoctorales en la Universidad Nacional Autónoma de México
Gob. NZ Posgrado,"Becas De Grado, Becas de posgrado, Gobierno de Nueva Zelanda",Nueva Zelanda,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-posgrado-del-gobierno-de-nueva-zelanda,Gobierno de Nueva Zelanda,Posgrado,,Yes,"-41.2865, 174.7762",-412.865,1.747.762,Becas de grado y posgrado del Gobierno de Nueva Zelanda
UBAINT intercambio grado exterior,Becas de Intercambio,Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-ubaint-estudiantes-de-intercambio-de-grado-en,UBAINT,Grado,,Yes,"-34.6037, -58.3816",-346.037,-583.816,Becas UBAINT para intercambio de grado en el exterior
Gob. Qatar Grado/Posgrado,"Becas De Grado, Becas de posgrado, Gobierno de Qatar",Qatar,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-grado-y-posgrado-del-gobierno-de-qatar,Gobierno de Qatar,"Grado, Posgrado",,Yes,"25.2867, 51.5333",252.867,515.333,Becas de grado y posgrado del Gobierno de Qatar
OEA Posgrado,"Becas Académicas de Posgrado de OEA, OEA, Programa Regular de OEA",OEA,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/programa-regular-de-becas-academicas-de-posgrado-de,OEA (Organización de los Estados Americanos),Posgrado,,Yes,"-34.9192, -56.1709",-349.192,-561.709,Programa Regular de Becas Académicas de Posgrado de OEA
OEA en Brasil,"Becas de OEA, Programa de becas",Brasil,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/programa-de-becas-de-oea-en-brasil,OEA (Organización de los Estados Americanos),No especifica,,No,"-14.2350, -51.9253",-142.350,-519.253,Programa de Becas de OEA en Brasil
OEA en Chile,"Becas de OEA, Chile, Programa de becas",Chile,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/programa-de-becas-de-oea-en-chile,OEA (Organización de los Estados Americanos),No especifica,,Yes,"-33.44889, -70.66926",-3.344.889,-7.066.926,Programa de Becas de OEA en Chile
Portal Educativo de las Américas de la OEA,"Becar Cultura, Becas de Intercambio, Becas de Maestría",OEA,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/cursos-del-portal-educativo-de-las-americas-de-la,Portal Educativo de las Américas de la OEA,No especifica,,No,"41.88069, -87.62972",4.188.069,-8.762.972,Cursos del Portal Educativo de las Américas de la OEA
AFS en países,"Becar Cultura, Becas de Intercambio, Becas de Maestría",Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-afs-en-diversos-paises,AFS,Grado,,Yes,"41.9028, 12.4964",419.028,12.4964,Becas de AFS en diversos países
Cursos en línea del Banco Interamericano de Desarrollo,"Becar Cultura, Becas de Intercambio, Becas de Maestría",Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/cursos-en-linea-del-banco-interamericano-de,Banco Interamericano de Desarrollo,No especifica,,No,"41.40338, 2.17403",4.140.338,217.403,Cursos en línea del Banco Interamericano de Desarrollo
Cursos en línea GIAN India,,India,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/cursos-en-linea-de-global-initiative-academic,Global Initiative of Academic Networks,No especifica,,No,"28.6139, 77.2090.",286.139,77.2090.,Cursos en línea de Global Initiative of Academic Networks en India
Univ. Thammasat Tailandia,"Becas De Grado, Becas de posgrado, Universidad de Thammasat",Tailandia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-grado-y-posgrado-en-la-universidad-de,Universidad de Thammasat,"Grado, Posgrado",,Yes,"13.7563, 100.5018",137.563,1.005.018,Becas de grado y posgrado en la Universidad de Thammasat en Tailandia
Pasantías BID EE.UU.,"Artistas, Becas de Intercambio, Becas de Maestría, Becas de doctorado, Oportunidad para artistas, Premio Internacional, Premio Internacional AI, Programa de residencia, Residencia para artistas, SFER IK Museion, Universidad de Lingnan",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/programa-de-pasantias-del-banco-interamericano-de,Banco Interamericano de Desarrollo,No especifica,,Yes,"38.90719, -77.03791.",3.890.719,-77.03791.,Programa de pasantías del Banco Interamericano de Desarrollo en Estados Unidos
Financiamiento parcial de estadías en el exterior,"Becas de Intercambio, Becas de Maestría, Becas de doctorado",Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/programa-de-financiamiento-parcial-de-estadias-en,CONICET,Posgrado,"December 1, 2023",No,"-34.6037, -58.3816",-346.037,-583.816,Programa de financiamiento parcial de estadías en el exterior para becarios e investigadores de CONICET
Proyectos internacionales CONICET - Países múltiples,"CONICET, Posgrado, Proyectos internacionales",Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/proyectos-de-cooperacion-internacional-de-conicet,CONICET (Consejo Nacional de Investigaciones Científicas y Técnicas),Posgrado,"December 1, 2023",No,"-34.6037, -58.3816",-346.037,-583.816,Proyectos de cooperación internacional de CONICET con diversos países
Cursos en línea Interconecta-AECID,"Becas De Grado, Becas de posgrado",España,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/cursos-en-linea-de-interconecta-aecid,Interconecta-AECID,"Grado, Posgrado",,Yes,"41.40338, 2.17403",4.140.338,217.403,Cursos en línea de Interconecta-AECID
Horizon Europa CEI,"Investigación, Posgrado, Unión Europea",Unión Europea,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-del-consejo-europeo-de-investigacion,Consejo Europeo de Investigación,Posgrado,,No,"50.85045, 4.34878.",5.085.045,4.34878.,Becas Horizon Europa del Consejo Europeo de Investigación
Universidad de Curtin en Australia,Becas de la Universidad de Curtin en Australia,Australia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-la-universidad-de-curtin-australia,Universidad de Curtin,"Grado, Posgrado",,No,"-25.2744, 133.7751",-252.744,1.337.751,Becas de la Universidad de Curtin en Australia
Becas Doctorales y Posdoctorales BA UK,"Becas Posdoctorales, Becas doctorales, The British Academy",Reino Unido,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-doctorales-y-posdoctorales-de-british-academy-en-reino,The British Academy,Posgrado,"June 5, 2024",Yes,"51.5074, -0.1278",515.074,-1.278,Becas doctorales y posdoctorales de The British Academy en Reino Unido
Fondos de investigación en UK,"Becas de investigación en Reino Unido, Fondos de investigación en Reino Unido, Global Challenges",Reino Unido,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-investigacion-de-global-challenges-en-reino-unido,Global Challenges,Posgrado,,Yes,"51.5074, -0.1278",515.074,-1.278,Fondos de investigación de Global Challenges en Reino Unido
Posgrado en EE.UU.,,Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-ministerio-de-educacion-fulbright-de-posgrado-en,Ministerio de Capital Humano-Comisión Fulbright,Posgrado,"may 3, 2023",No,"38.90719, -77.03738",3.890.719,-7.703.738,Becas Ministerio de Capital Humano-Comisión Fulbright para posgrado en Estados Unidos
Comisión Fulbright en Estados Unidos,"Becas en Estados Unidos, Becas para posgrado, Comisión Fulbright",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-fulbright-para-masterdoctorado-en-estados-unidos,Comisión Fulbright,Posgrado,,No,"38.90719, -77.03738.",3.890.719,-77.03738.,Becas de la Comisión Fulbright para maestría/doctorado en Estados Unidos
Fondo Oportunidades - EE.UU.,"Becas del Programa Fondo Oportunidades, EducationUSA, Estados Unidos",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-programa-fondo-oportunidades-de-educationusa-en,EducationUSA,Posgrado,"February 13, 2022",No,"38.90719, -77.03687",3.890.719,-7.703.687,Becas del Programa Fondo Oportunidades de EducationUSA en Estados Unidos
Doctorados y estancias posdoctorales,"Becas de doctorados, Estancias cortas posdoctorales, Fundación Carolina",España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-doctorados-y-estancias-cortas-posdoctorales-de-la,Fundación Carolina,Posgrado,"may 22, 2024",No,"41.40338, 2.17403",4.140.338,217.403,Becas de doctorados y estancias cortas posdoctorales de la Fundación Carolina en España
Fundación Carolina en España,,España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-posgrado-de-la-fundacion-carolina-en-espana,Fundación Carolina,Posgrado,"may 22, 2024",No,"41.40338, 2.17403",4.140.338,217.403,Becas de posgrado de la Fundación Carolina en España
"Univ. Nottingham UK, China, Malasia","Becas de la Universidad de Nottingham, Internacional, International Baccalaureate Diploma",Múltiples destinos,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-international-baccalaureate-diploma-en-la,Universidad de Nottingham,"Grado, Posgrado",,Yes,"41.8781, -87.6298",418.781,-876.298,"Becas de la Universidad de Nottingham en Reino Unido, China y Malasia"
GKS Corea Sur,Becas de investigación,Corea del Sur,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-kgsp-para-maestria-doctorado-y-programas-de-0,GKS (Gobierno de Corea del Sur),Posgrado,,Yes,"37.5665, 126.9780",375.665,1.269.780,"Becas GKS para maestría, doctorado y programas de investigación del Gobierno de Corea del Sur"
China Scholarship Council para argentinos,"Becas Unilaterales, China Scholarship Council",China,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-unilaterales-de-china-scholarship-council,China Scholarship Council,Posgrado,,Yes,"39.9042, 116.4074",399.042,1.164.074,Becas unilaterales de China Scholarship Council para argentinos en China
France Excellence Europa,Becas de posgrado,Francia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-france-excellence-europa,France Excellence Europa,Posgrado,,Yes,"48.85661, 2.35222",4.885.661,235.222,"Becas de maestría ""France Excellence Europa"" en Francia"
Campus France-Embajada de Francia,Artistas,Francia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/buscador-de-becas-de-campus-france-embajada-de,Campus France- Embajada de Francia,"Grado, Posgrado",,Yes,"48.8566, 2.3522",488.566,2.3522,Buscador de becas de Campus France- Embajada de Francia
ANDERS para descendientes de polacos en Polonia,,Polonia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-del-programa-anders-nawa-para-estudiantes,Programa ANDERS,No especifica,,No,"52.22967, 21.01223",5.222.967,2.101.223,Becas del Programa ANDERS para descendientes de polacos en Polonia
Fulbright-CONICET EE.UU.,"Becas de investigación, Comisión Fulbright-CONICET, Estados Unidos",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-investigacion-fulbright-conicet,Comisión Fulbright-CONICET,Posgrado,,Yes,"38.90719, -77.03687",3.890.719,-7.703.687,Becas de investigación Comisión Fulbright-CONICET en Estados Unidos
Comisión Fulbright - U.S. Institute for Student Leaders,,Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/seminario-para-estudiantes-universitarios-study-us,Comisión Fulbright,"Grado, Posgrado","September 29, 2023",No,3.890.719,3.890.719,3.890.719,Becas de la Comisión Fulbright para seminario para estudiantes universitarios en U.S. Institute for Student Leaders en Estados Unidos
"Becas al mérito en Quebec, Canadá",,Canadá,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-al-merito-para-doctorado-posdoctorado-e,"Quebec, Canadá",Posgrado,"November 1, 2022",No,"45.42153, -75.69719",4.542.153,-7.569.719,"Becas al mérito para doctorado, posdoctorado e investigación en Quebec, Canadá"
GobItalia-Art,"Artistas, Becas del Gobierno de Italia, Grado, Posgrado",Italia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/buscador-de-becas-del-gobierno-de-italia,Gobierno de Italia,"Grado, Posgrado, Artistas",,Yes,"41.9028, 12.4964",419.028,12.4964,Buscador de becas del Gobierno de Italia
CONICET Jóvenes Investigadores,"Becas externas, CONICET, investigadores",Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-argentina/becas-externas-de-conicet-para-jovenes,CONICET,Destacar,,Yes,"-34.6037, -58.3816",-346.037,-583.816,Becas externas de CONICET para jóvenes investigadores y para personal de apoyo en el exterior
R.A.R.O,"R.A.R.O, Residencias Artísticas",Colombia,https://www.revistamagenta.com/residencias-artisticas-r-a-r-o/,R.A.R.O,Artistas,"may 16, 2024",Yes,"4.5709, -74.2973",4.5709,-742.973,Residencias Artísticas
"Fund. MJ Jove, Univ. da Coruña","España, Residencias Artísticas",España,https://www.revistamagenta.com/residencia-artistica-en-espana/,Fundación María José Jove y la Universidade da Coruña,Artistxs,"June 14, 2024",Yes,"41.40338, 2.17403",4.140.338,217.403,Residencias artísticas en España
Apoyo a la producción artística CCEBA,Artistas,Múltiples destinos,https://www.revistamagenta.com/apoyo-a-la-produccion-artistica-cceba/,CCEBA (Centro Cultural de España en Buenos Aires),Artistas,"March 25, 2024",No,"-34.6037, -58.3816",-346.037,-583.816,Apoyo a la producción artística CCEBA
Formación en Francia para artistas,"Becar Cultura, Becas de Intercambio, Becas de Maestría",Francia,https://www.revistamagenta.com/seminarios-de-formacion-en-francia/,Gobierno de Francia,Artistas,"March 18, 2024",No,"41.40338, 2.17403",4.140.338,217.403,Seminarios de Formación en Francia
Residencia Munich,"Becar Cultura, Becas de Intercambio, Oportunidad para artistas, Programa de residencia, Residencia para artistas",Alemania,https://www.revistamagenta.com/residencia-para-artistas-en-munich-2/,Ebenböckhaus y Salta,Artistas,"January 3, 2024",No,"51.16569, 10.451526",5.116.569,10.451.526,Residencia para artistas en Munich
Premio AI,"Artistas, Premio Internacional AI, SFER IK Museion",México,https://www.revistamagenta.com/premio-internacional-ai/,SFER IK Museion,Artistas,"November 17, 2023",No,"41.40338, 2.17403",4.140.338,217.403,Premio Internacional AI
Univ. Lingnan HK,"Becas de Maestría, Becas de doctorado, China, Hong Kong, Universidad de Lingnan",China,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-doctorado-en-la-universidad-de-lingnan-en-hong-kong,Universidad de Lingnan,Destacar,,Yes,"39.90420, 116.40740",3.990.420,11.640.740,"Becas de maestría y doctorado en Hong Kong, China"
Intercambio Cultural,"Artistas, Becar Cultura, Becas de Intercambio",Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-intercambio-becar-cultura-para-artistas-y,Gobierno de Argentina,Artistas,"September 25, 2023",No,"-34.61315, -58.37723",-3.461.315,-5.837.723,"Becas de intercambio ""Becar Cultura"" para artistas y gestores culturales en diversos países"
Promoción Música Argentina,,Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-argentina/fomento-internacional-inamu,Inamu,Artistas,"January 31, 2024",No,"-34.6037, -58.3816",-346.037,-583.816,Programa de Fomento Internacional para la Promoción de la Música Argentina en el mundo
Prácticas curatoriales,,,https://www.revistamagenta.com/residencias-en-practicas-curatoriales/,,,"may 24, 2024",No,,,,Residencias en prácticas curatoriales
ACE,Residencias Artísticas,,https://www.revistamagenta.com/residencias-ace/,,,"April 30, 2024",No,,,,Residencias ACE
Talleres para artistas,"Revista Magenta, Talleres para artistas",,https://www.revistamagenta.com/becas-y-talleres-para-artistas/,,,"March 21, 2024",No,,,,Becas y Talleres para Artistas
"Reino Unido - Cierre: October 9, 2023",Residencia para artistas,,https://www.revistamagenta.com/residencia-para-artistas-en-reino-unido/,,,"October 9, 2023",No,,,,Residencia para artistas en Reino Unido
Residencia Artistas,Residencia para artistas,,https://www.revistamagenta.com/residencia-de-artistas/,,,"August 1, 2024",Yes,,,,Residencia de Artistas
Creación para artistas,"Artistas, Becar Cultura, Becas de Intercambio, Becas de Maestría, Becas de doctorado, Oportunidad para artistas, Premio Internacional, Premio Internacional AI, Programa de residencia, Residencia para artistas, SFER IK Museion, Universidad de Lingnan",,https://www.revistamagenta.com/becas-a-la-creacion-para-artistas/,,,,No,,,,Becas a la creación para artistas
,,,https://www.revistamagenta.com/recursos-para-emprendedores/,,,,No,,,,Recursos para emprendedores
Residencia Epecuen - Argentina,,,https://www.revistamagenta.com/residencia-epecuen-3/,,,,No,,,,Residencia Epecuen
,,,https://www.revistamagenta.com/residencias-serigraficas-en-argentina/,,,,No,,,,Residencias Serigráficas en Argentina
"Casa Alberto Heredia, Argentina",,,https://www.revistamagenta.com/casa-alberto-heredia-residencia-de-artistas/,,,,No,,,,Casa Alberto Heredia. Residencia de artistas
Beca Artes Visuales - Argentina,,,https://www.revistamagenta.com/beca-trabucco-a-las-artes-visuales/,,,,No,,,,Beca Trabucco a las Artes Visuales
Subsidios FNA (Argentina),,,https://www.revistamagenta.com/subsidios-del-fondo-nacional-de-las-artes/,,,,No,,,,Subsidios del Fondo Nacional de las Artes
"Univ. de Macau en Hong Kong, China","Becas De Grado, China, maestría y doctorado en la Universidad de Macau en Hong Kong",China,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-maestria-y-de-doctorado-en-la-universidad-de-macau,,,,No,,,,"Becas de grado, maestría y doctorado en la Universidad de Macau en Hong Kong, China"
,,Francia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-smart-loire-valley-programme-en-francia,,,,No,,,,Becas de docencia e investigación de Le Studium en Francia
IBEREX Ministerio Cultura España,,España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-programa-iberex-del-ministerio-de-cultura-y,,,,No,,,,Becas del Programa IBEREX del Ministerio de Cultura de España
Fundación Cisneros en MoMA EE.UU.,"Becas para investigadores, Estados Unidos de América, Fundación Cisneros, Museo MoMA",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-para-investigar-la-coleccion-de-arte-latinoamericano,,Destacar,,Yes,,,,Becas de la Fundación Cisneros en el Museo MoMA en Estados Unidos
Curso Alta Formación Artes Música Danza,Formación en Artes,Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-para-el-curso-de-alta-formacion-profesional-artistica,,Destacar,,Yes,,,,"Becas para el curso de alta formación en artes, música y danza del Gobierno de Italia"
Becas posdoc Mitacs Elevate - Canadá,,Canadá,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-mitacs-elevate-en-canada,,,,No,,,,Becas posdoctorales Mitacs Elevate en Canadá
Univ. Hangyang en Corea del Sur,Becas de posgrado,Corea del Sur,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-posgrado-en-la-universidad-hangyang-en,,Destacar,,Yes,,,,Becas de la Universidad Hangyang en Corea del Sur
Alejandra Pizarnik en Francia,Becas de Maestría,Francia,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/beca-de-maestria-alejandra-pizarnik,,,"June 9, 2024",Yes,,,,"Beca de maestría ""Alejandra Pizarnik"" en Francia"
Julio Cortázar en Francia,Becas de Intercambio,Francia,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/beca-de-maestria-julio-cortazar-en,,,"June 9, 2024",Yes,,,,"Beca de maestría ""Julio Cortázar"" en Francia"
Feria del Millón,Feria del Millón,,https://app.datarte.art/convocatorias/feria-del-millon-2024,,,"July 10, 2024",Yes,,,,Convocatoria Feria del Millón
"Berlín, Alemania - Flusslab",Artistas,,https://app.datarte.art/convocatorias/flusslab_berlin,,,"June 16, 2024",Yes,,,,"Residencia en Berlín, Alemania"
Exposición en Cartagena,,,https://app.datarte.art/convocatorias/cartagena-2024,,,,No,,,,"Exposición en Cartagena, Colombia"
Amazonía PER,"Convocatorias, Cosmica Lab, Residencia en la Amazonía Peruana",,https://app.datarte.art/convocatorias/cosmica-lab-318,,,"July 15, 2024",Yes,,,,Residencia en la Amazonía Peruana
