Resumen generado por la IA,AI keywords,País,URL,Instituciones,Destinatarios,Fecha de cierre,Publicar,Geolocation,Latitude,Longitude,Nombre,Entidad,Nueva?,Related 146 Oportunidades,Rollup,Total de nuevas
"GobTur Grado, Máster, Doctorado","Becas De Grado, maestría y doctorado del Gobierno de Turquía",Turquía,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/maestria-turquia,Gobierno de Turquía,Posgrado,,Yes,"41.0082, 28.9784",41.0082,28.9784,"Becas de grado, maestría y doctorado del Gobierno de Turquía",Gob. de Turquía,0,,,
Chandigarh Univ,"Becas De Grado, maestría y doctorado en Chandigarh University en India",India,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-grado-y-maestria-en-chandigarh-university-en-india,,,,No,,,,"Becas de grado, maestría y doctorado en Chandigarh University en India",Chandigarh University,0,,,
"Univ. de Macau en Hong Kong, China","Becas De Grado, China, maestría y doctorado en la Universidad de Macau en Hong Kong",China,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-maestria-y-de-doctorado-en-la-universidad-de-macau,,,,No,,,,"Becas de grado, maestría y doctorado en la Universidad de Macau en Hong Kong, China",,0,,,
Grado en la Universidad de Montreal en Canadá,,Canadá,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/grado-maestria-y-doctorado-universidad-montreal-canada,,Posgrado,,No,"45.42153, -75.69719.",45.42153,-75.69719.,"Becas de grado, maestría y doctorado en la Universidad de Montreal en Canadá",,0,,,
"Grado en Sharda Univ, India","Becas De Grado, India, maestría y doctorado en Sharda University",India,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-grado-en-sharda-university-india,,,,No,,,,"Becas de grado, maestría y doctorado en Sharda University, India",,0,,,
Grado y posgrado Rusia,"Becas De Grado, Becas de idioma del Gobierno de Rusia, Becas de posgrado",Rusia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-grado-del-gobierno-de-rusia,Gobierno de Rusia,"Grado, Posgrado",,No,"55.751244, 37.618423",55.751244,37.618423,"Becas de grado, posgrado e idioma del Gobierno de Rusia",Gobierno de Rusia,0,,,
Integración Regional para argentinos en Latinoamérica,"Argentina, Becas de Integración Regional, Ministerio de Capital Humano",América Latina y el Caribe,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-integracion-regional-del-ministerio-de-educacion,Ministerio de Capital Humano,"Grado, Posgrado",,No,"-34.6037, -58.3816",-34.6037,-58.3816,Becas de Integración Regional del Ministerio de Capital Humano para argentinos en Latinoamérica,,0,,,
Intercambio Cultural,"Artistas, Becar Cultura, Becas de Intercambio",Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-intercambio-becar-cultura-para-artistas-y,Gobierno de Argentina,Artistas,"September 25, 2023",No,"-34.61315, -58.37723",-34.61315,-58.37723,"Becas de intercambio ""Becar Cultura"" para artistas y gestores culturales en diversos países",,0,,,
Fulbright-CONICET USA,"Becas de investigación, Comisión Fulbright-CONICET, Estados Unidos",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-investigacion-fulbright-conicet,Comisión Fulbright-CONICET,Posgrado,,No,"38.90719, -77.03687",38.90719,-77.03687,Becas de investigación Comisión Fulbright-CONICET en Estados Unidos,,0,,,
Investigación en Historia del Arte en la Fundación Getty en EE.UU.,"Becas de investigación, Fundación Getty, Historia del Arte",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-investigacion-en-historia-del-arte-en-la-fundacion,Fundación Getty,Posgrado,,Yes,"38.90719, -77.03792.",38.90719,-77.03792.,Becas de investigación en Historia del Arte en la Fundación Getty en Estados Unidos,Fundación Getty,0,,,
Georg Forster en Alemania,,Alemania,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/becas-de-investigacion-georg-forster,,,,No,,,,Becas de investigación Georg Forster en Alemania,,0,,,
J. Huizinga en Rijksmuseum,Becas de investigación,Países Bajos,https://www.argentina.gob.ar/becas-de-investigacion-johan-huizinga-en-el-rijksmuseum-de-paises-bajos,,,,Yes,,,,Becas de investigación Johan Huizinga en el Rijksmuseum de Países Bajos,Rijksmuseum,0,,,
Mellon en Rijksmuseum,"Becas de investigación, Rijksmuseum",Países Bajos,https://www.argentina.gob.ar/becas-de-investigacion-mellon-en-el-rijksmuseum-de-paises-bajos,,Destacar,,Yes,,,,Becas de investigación Mellon en el Rijksmuseum de Países Bajos,Rijksmuseum,0,,,
Migelien Gerritzen Rijksmuseum,Becas de investigación,Países Bajos,https://www.argentina.gob.ar/becas-de-investigacion-migelien-gerritzen-en-el-rijksmuseum-de-paises-bajos,,,,Yes,,,,Becas de investigación Migelien Gerritzen en el Rijksmuseum de Países Bajos,Rijksmuseum,0,,,
Académie de France Madrid,Residencia para artistas,España,https://www.argentina.gob.ar/becas-de-la-academie-de-france-de-madrid-de-residencias-largas-para-artistas-en-espana,,Destacar,,No,,,,Becas de la Académie de France de Madrid de residencias largas para artistas en España,Académie de France,0,,,
Agencia Chilena de Cooperación Internacional para el Desarrollo en Chile,,Chile,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-maestria-de-la-agencia-chilena-de-cooperacion,Agencia Chilena de Cooperación Internacional para el Desarrollo,Posgrado,,No,"-33.44889, -70.66927",-33.44889,-70.66927,Becas de la Agencia Chilena de Cooperación Internacional para el Desarrollo en Chile,,0,,,
Asoc. Univ. Iberoamericana PG en Iberoamérica,Becas de Maestría,Iberoamérica,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-la-asociacion-universitaria-iberoamericana,Asociación Universitaria Iberoamericana de Postgrado en Iberoamérica,Posgrado,,No,"-34.6037, -58.3816",-34.6037,-58.3816,Becas de la Asociación Universitaria Iberoamericana de Postgrado en Iberoamérica,,0,,,
Comisión Fulbright en Estados Unidos,"Becas en Estados Unidos, Becas para posgrado, Comisión Fulbright",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-fulbright-para-masterdoctorado-en-estados-unidos,Comisión Fulbright,Posgrado,,No,"38.90719, -77.03738.",38.90719,-77.03738.,Becas de la Comisión Fulbright para maestría/doctorado en Estados Unidos,,0,,,
Comisión Fulbright - U.S. Institute for Student Leaders,,Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/seminario-para-estudiantes-universitarios-study-us,Comisión Fulbright,"Grado, Posgrado","September 29, 2023",No,38.90719,38.90719,38.90719,Becas de la Comisión Fulbright para seminario para estudiantes universitarios en U.S. Institute for Student Leaders en Estados Unidos,,0,,,
Fundación Bogliasco en Italia,,Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-la-fundacion-bogliasco-para-profesionales-de-arte-y,Fundación Bogliasco,"Grado, Posgrado, Artistas",,No,"41.9028, 12.4964",41.9028,12.4964,Becas de la Fundación Bogliasco para profesionales de Arte y Humanidades en Italia,,0,,,
Cisneros en MoMA,"Becas para investigadores, Estados Unidos de América, Fundación Cisneros, Museo MoMA",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-para-investigar-la-coleccion-de-arte-latinoamericano,,Destacar,,No,,,,Becas de la Fundación Cisneros en el Museo MoMA en Estados Unidos,,0,,,
Fund. Obama,"Becas en Estados Unidos, oportunidad para artistas",EEUU,https://www.argentina.gob.ar/becas-de-la-fundacion-obama-en-estados-unidos,,,,Yes,,,,Becas de la Fundación Obama en Estados Unidos,Fundación Obama,0,,,
Fundación Pollock-Krasner en EE.UU.,"Artistas, Estados Unidos de América, Fundación Pollock-Krasner",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/pollock-krasner-usa,Fundación Pollock-Krasner,Artistas,"December 31, 2024",Yes,"38.90719, -77.03739.",38.90719,-77.03739.,Becas de la Fundación Pollock-Krasner para artistas visuales en Estados Unidos,Fundación Pollock-Krasner,0,,,
Fund. Santander España,"Becas en España, Fundación Santander",España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-la-fundacion-santander-en-espana,Fundación Santander,No especifica,,No,"41.40338, 2.17403",41.40338,2.17403,Becas de la Fundación Santander en España,Fundación Santander,0,,,
IJLAM en EE.UU.,"Becas de la Iniciativa Jóvenes Líderes de las Américas en Estados Unidos, Estados Unidos de América, Grado, Iniciativa Jóvenes Líderes de las Américas, Posgrado",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-la-iniciativa-jovenes-lideres-de-las-americas-en,Iniciativa Jóvenes Líderes de las Américas,"Grado, Posgrado",,No,"38.90719, -77.03738",38.90719,-77.03738,Becas de la Iniciativa Jóvenes Líderes de las Américas en Estados Unidos,,0,,,
Oportunidad Italo-latinoamericana,,Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/org-italolatinoamericana-italia,Organización Internacional Italo-latinoamericana,No especifica,"September 30, 2023",No,"41.9028, 12.4964",41.9028,12.4964,Becas de la Organización Internacional Italo-latinoamericana en Italia,,0,,,
Universidad de Curtin en Australia,Becas de la Universidad de Curtin en Australia,Australia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-la-universidad-de-curtin-australia,Universidad de Curtin,"Grado, Posgrado",,No,"-25.2744, 133.7751",-25.2744,133.7751,Becas de la Universidad de Curtin en Australia,,0,,,
"Nottingham UK, China, Malasia","Becas de la Universidad de Nottingham, Internacional, International Baccalaureate Diploma",Múltiples destinos,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-international-baccalaureate-diploma-en-la,Universidad de Nottingham,"Grado, Posgrado",,No,"41.8781, -87.6298",41.8781,-87.6298,"Becas de la Universidad de Nottingham en Reino Unido, China y Malasia",,0,,,
Hangyang 2023,Becas de posgrado,Corea del Sur,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-posgrado-en-la-universidad-hangyang-en,,Destacar,,No,,,,Becas de la Universidad Hangyang en Corea del Sur,Universidad Hangyang,0,,,
UCC Irlanda,"Becas de la University College Cork en Irlanda, Irlanda, University College Cork",Irlanda,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-la-university-college-cork-en-irlanda,University College Cork,No especifica,,No,"53.3498, -6.2603",53.3498,-6.2603,Becas de la University College Cork en Irlanda,University College Cork,0,,,
Francia Excellence Europa,Becas de posgrado,Francia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-france-excellence-europa,France Excellence Europa,Posgrado,,No,"48.85661, 2.35222",48.85661,2.35222,"Becas de maestría ""France Excellence Europa"" en Francia",,0,,,
Univ. Salerno,"Becas de Maestría, Italia, Università degli Studi di Salerno",Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-maestria-de-la-universita-degli-studi-di-salerno,Università degli Studi di Salerno,Posgrado,,No,"41.9028, 12.4964",41.9028,12.4964,"Becas de maestría de la Università degli Studi di Salerno, Italia",Università degli Studi di Salerno,0,,,
Gob. Italia,"Becas de Maestría, Gobierno de Italia, Posgrado",Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-maestria-del-gobierno-de-italia,Gobierno de Italia,Posgrado,,No,"41.9028, 12.4964",41.9028,12.4964,Becas de maestría del Gobierno de Italia,Gobierno de Italia,0,,,
École Normale Supérieure,"Becas de Maestría, Becas en Francia, Educación Artística",Francia,https://www.argentina.gob.ar/becas-de-maestria-en-el-ecole-normale-superieure-en-francia,,,,Yes,,,,Becas de maestría en el École Normale Supérieure en Francia,École Normale Supérieure,0,,,
Uni Macau HK,"Becas de Maestría, Becas de doctorado, Universidad de Macau",China,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-maestria-y-de-doctorado-en-la-universidad-de-macau,Universidad de Macau,Posgrado,,Yes,"39.9042, 116.4074",39.9042,116.4074,"Becas de maestría y de doctorado en la Universidad de Macau en Hong Kong, China",Univ. de Macau,0,,,
Irish Research Council,,Irlanda,https://www.argentina.gob.ar/becas-de-maestria-y-doctorado-del-irish-research-council-en-irlanda,,,,No,,,,Becas de maestría y doctorado del Irish Research Council en Irlanda,,0,,,
Lingnan HK,"Becas de Maestría, Becas de doctorado, China, Hong Kong, Universidad de Lingnan",China,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-doctorado-en-la-universidad-de-lingnan-en-hong-kong,Universidad de Lingnan,Destacar,,No,"39.90420, 116.40740",39.90420,116.40740,"Becas de maestría y doctorado en Hong Kong, China",,0,,,
Maestría y doctorado en Universidad Lingnan,,China,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-doctorado-en-la-universidad-de-lingnan-en-hong-kong,,,,No,,,,"Becas de maestría y doctorado en la Universidad de Lingnan en Hong Kong, China",,0,,,
Gobierno de Hungría - Posgrado en Hungría,,Hungría,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/posgrado-gobierno-hungria,Gobierno de Hungría,Posgrado,,No,"47.4979, 19.0402",47.4979,19.0402,"Becas de maestría, especialización y doctorado del Gobierno de Hungría",,0,,,
Movilidad de Profesorado Argentino en España,"Becas de Movilidad, España, Profesorado Argentino",España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-movilidad-de-profesorado-argentino-en-espana,Ministerio de Capital Humano-Fundación Carolina,No especifica,,No,"41.40338, 2.17403",41.40338,2.17403,Becas de Movilidad de Profesorado Argentino en España Ministerio de Capital Humano-Fundación Carolina,,0,,,
Movilidad para estudiantes de la Universidad de las Artes en diversos países,,Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-movilidad-para-estudiantes-de-la,Universidad de las Artes,"Grado, Posgrado",,No,"-34.6037, -58.3816",-34.6037,-58.3816,Becas de movilidad para estudiantes de la Universidad de las Artes en diversos países,,0,,,
Posdoc Irish Research Council,,Irlanda,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-posgrado-del-irish-research-council-en,,,,No,,,,Becas de posdoctorado del Irish Research Council en Irlanda,,0,,,
Posgrado en Japón,"Becas de posgrado, Kenkyuryugaku",Japón,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/posgrado-kenkyuryugaku-japon,Japón,Posgrado,,No,"35.6895, 139.6917",35.6895,139.6917,Becas de posgrado “Kenkyuryugaku” en Japón,,0,,,
Fundación Carolina en España,,España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-posgrado-de-la-fundacion-carolina-en-espana,Fundación Carolina,Posgrado,"May 22, 2024",No,"41.40338, 2.17403",41.40338,2.17403,Becas de posgrado de la Fundación Carolina en España,,0,,,
Becas posgrado Gov. Colombia,"Becas de posgrado, Gobierno de Colombia",Colombia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-posgrado-del-gobierno-de-colombia,Gobierno de Colombia,Posgrado,,No,"4.6483, -74.2479",4.6483,-74.2479,Becas de posgrado del Gobierno de Colombia,,0,,,
Irish Research Council en Irlanda,"Becas de posgrado, Irish Research Council",Irlanda,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-posgrado-del-irish-research-council-en,Irish Research Council,Posgrado,,No,"53.349805, -6.26031",53.349805,-6.26031,Becas de posgrado del Irish Research Council en Irlanda,,0,,,
Posgrado e Investigación Suiza,"Becas de posgrado, Gobierno de Suiza, Investigación",Suiza,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-posgrado-e-investigacion-del-gobierno-de-suiza,Gobierno de Suiza,Posgrado,,No,"47.3769, 8.5417",47.3769,8.5417,Becas de posgrado e investigación del Gobierno de Suiza,Gobierno de Suiza,0,,,
Posgrado en la Universidad Hangyang en Corea del Sur,"Becas de posgrado, Corea del Sur, Universidad Hangyang",Corea del Sur,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-posgrado-en-la-universidad-hangyang-en,Universidad Hangyang,Posgrado,,No,"37.5665, 126.9780.",37.5665,126.9780.,Becas de posgrado en la Universidad Hangyang en Corea del Sur,,0,,,
Posgrados Rice Univ,"Becas de posgrado, Estados Unidos, Rice University",Estados Unidos de América,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/becas-de-posgrado-en-rice-university,,Destacar,,No,,,,"Becas de posgrado en Rice University, Estados Unidos",,0,,,
Post-doc Dinamarca,"Becas de posgrado, OEA, Programa de becas",Dinamarca,https://www.argentina.gob.ar/becas-aias-auff-junior-en-dinamarca,Post-doc Dinamarca,Destacar,,No,,,,Becas de Post-grado en Dinamarca,Post-doc Dinamarca,0,,,
Proy. COIL Gob. Méx.,,México,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/becas-de-proyectos-coil-del-gobierno,,,,No,,,,Becas de proyectos COIL del Gobierno de México,,0,,,
Reinv. exbec. DAAD Alemania,Becas de investigación,Alemania,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/becas-de-reinvitacion-para,,,"November 9, 2024",Yes,,,,Becas de reinvitación para exbecarios del DAAD en Alemania,,0,,,
Consejo Indio Relaciones Culturales,,India,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-del-consejo-indio-para-las-relaciones,Consejo Indio para las Relaciones Culturales,Posgrado,,No,"28.6139, 77.2090.",28.6139,77.2090.,Becas del Consejo Indio para las Relaciones Culturales en India,,0,,,
DAAD para investigaciones largas en Alemania,,Alemania,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/becas-del-daad-para-investigaciones,,,,No,,,,Becas del DAAD para investigaciones largas en Alemania,,0,,,
DAAD Artes Escénicas,Maestría en Artes Escénicas,Alemania,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/becas-del-daad-para-maestria-en-2,,,"November 30, 2024",Yes,,,,Becas del DAAD para maestría en Artes Escénicas en Alemania,DAAD,0,,,
"DAAD en Bellas Artes, Diseño, Cine","Becas de Maestría, Becas de posgrado, Becas en Alemania",Alemania,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/becas-del-daad-para-maestria-en-1,,,"January 10, 2025",No,,,,"Becas del DAAD para maestría en Bellas Artes, Diseño o Cine en Alemania",,0,,,
DAAD Música Alemania,,Alemania,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/becas-del-daad-para-maestria-en-0,,,,No,,,,Becas del DAAD para maestría en Música en Alemania,,0,,,
DAAD EPOS Alemania,,Alemania,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/becas-del-daad-para-maestria-o,,,,No,,,,Becas del DAAD para maestría o doctorado del Programa EPOS en Alemania,,0,,,
OIJ Maestrías Online España,,España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-oij-para-maestrias-online-en-universidades,OIJ (Organización Iberoamericana de Juventud),Posgrado,,No,"41.40338, 2.17403",41.40338,2.17403,Becas del OIJ para maestrías en línea en universidades españolas,,0,,,
ANDERS para descendientes de polacos en Polonia,,Polonia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-del-programa-anders-nawa-para-estudiantes,Programa ANDERS,No especifica,,No,"52.22967, 21.01223",52.22967,21.01223,Becas del Programa ANDERS para descendientes de polacos en Polonia,,0,,,
Programa de Cooperación Bilateral CONICET-CNR en Italia,,Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-programa-de-cooperacion-bilateral-conicet-cnr-en,CONICET-CNR,Posgrado,,No,"41.9028, 12.4964",41.9028,12.4964,Becas del Programa de Cooperación Bilateral CONICET-CNR en Italia,,0,,,
Estudiantes-Convenio de Grado en Brasil,,Brasil,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/estudiantes-grado-brasil,Programa de Estudiantes-Convenio de Grado en Brasil,Grado,,No,"-15.7767, -47.8787",-15.7767,-47.8787,Becas del Programa de Estudiantes-Convenio de Grado en Brasil,,0,,,
Gran Muralla China,,China,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-unesco-gobierno-de-china-para-estudios-de,UNESCO,Posgrado,,No,"39.9042, 116.4074",39.9042,116.4074,Becas del Programa de la Gran Muralla China de la UNESCO,,0,,,
Líderes Emergentes en las Américas Canadá,,Canadá,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-programa-de-lideres-emergentes-en-las-americas-en,Programa de Líderes Emergentes en las Américas,"Grado, Posgrado",,No,"45.42153, -75.69812.",45.42153,-75.69812.,Becas del Programa de Líderes Emergentes en las Américas en Canadá,,0,,,
Fondo Oportunidades - EE.UU.,"Becas del Programa Fondo Oportunidades, EducationUSA, Estados Unidos",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-programa-fondo-oportunidades-de-educationusa-en,EducationUSA,Posgrado,"February 13, 2022",No,"38.90719, -77.03687",38.90719,-77.03687,Becas del Programa Fondo Oportunidades de EducationUSA en Estados Unidos,,0,,,
IBEREX Ministerio Cultura España,,España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-programa-iberex-del-ministerio-de-cultura-y,,,,No,,,,Becas del Programa IBEREX del Ministerio de Cultura de España,,0,,,
IBEREX MCyD España,"Becas de estudio, Becas para artistas, España",España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-programa-iberex-del-ministerio-de-cultura-y,Ministerio de Cultura y Deporte de España,"Grado, Posgrado, Artistas",,Yes,"40.41678, -3.70379.",40.41678,-3.70379.,Becas del Programa IBEREX del Ministerio de Cultura y Deporte de España,Min. de Cult.,0,,,
Programa Internacional de Líderes Visitantes en Estados Unidos,Becas del Programa Internacional de Líderes Visitantes en Estados Unidos,Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-programa-internacional-de-lideres-visitantes-en,Programa Internacional de Líderes Visitantes en Estados Unidos,No especifica,,No,"38.90719, -77.03738.",38.90719,-77.03738.,Becas del Programa Internacional de Líderes Visitantes en Estados Unidos,,0,,,
Smart Loire Valley,Becas del Smart Loire Valley Programme en Francia,Francia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-smart-loire-valley-programme-en-francia,Smart Loire Valley Programme,Posgrado,,Yes,"41.9028, 12.4964",41.9028,12.4964,Becas del Smart Loire Valley Programme en Francia,Smart Loire Valley Programme,0,,,
Fund. Gerda Henkel,,Alemania,https://www.argentina.gob.ar/becas-doctorales-de-la-fundacion-gerda-henkel-en-alemania,,,,No,,,,Becas doctorales de la Fundación Gerda Henkel en Alemania,,0,,,
Becas doctorales EDUFI en Finlandia -> EDUFI,,Finlandia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-doctorales-edufi-en-finlandia,EDUFI,Posgrado,,No,"60.1699, 24.9384",60.1699,24.9384,Becas doctorales EDUFI en Finlandia,,0,,,
"Becas doctorales Frederick Douglass en Univ. Howard, EE.UU.","Becas doctorales, Estados Unidos, Universidad Howard",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-doctorales-frederick-douglass-en-la-universidad-howard,Universidad Howard,Posgrado,,Yes,"38.90719, -77.03738.",38.90719,-77.03738.,"Becas doctorales Frederick Douglass en la Universidad Howard, Estados Unidos",Univ. Howard,0,,,
The British Academy UK,"Becas doctorales, Becas posdoctorales, The British Academy",Reino Unido,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-doctorales-y-posdoctorales-de-british-academy-en-reino,The British Academy,Destacar,,No,"51.5074, -0.1278",51.5074,-0.1278,Becas doctorales y posdoctorales de The British Academy en Reino Unido,,0,,,
Conservación e Investigación en el Met,"Becas de investigación, Investigación",Estados Unidos de América,https://www.argentina.gob.ar/becas-en-conservacion-y-en-investigacion-cientifica-en-el-metropolitan-museum-art-en-estados-unidos,,Destacar,,Yes,,,,Becas en conservación y en investigación científica en el Metropolitan Museum of Art en Estados Unidos,Metropolitan Museum of Art,0,,,
Akademie Schloss Solitude en Alemania,"Alemania, Becas en la Akademie Schloss Solitude, Residencia de bailarines",Alemania,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-en-la-akademie-schloss-solitude-para-residencia-de,Akademie Schloss Solitude,Artistas,,No,"51.16569, 10.45152",51.16569,10.45152,Becas en la Akademie Schloss Solitude para residencia de bailarines en Alemania,,0,,,
Erasmus+ Mov. Int. EU,,Unión Europea,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-erasmus-de-movilidad-internacional-de-personal,,,,No,,,,Becas Erasmus+ International Credit Movility en la Unión Europea,,0,,,
,,Austria,https://www.argentina.gob.ar/becas-ernst-mach-follow-en-austria,,,,No,,,,Becas Ernst Mach- Follow up en Austria,,0,,,
Fond. Bogliasco art.,"Becas para artistas, Fundación Bogliasco, oportunidad para artistas",Italia,https://www.recursosculturales.com/premios-especiales-fundacion-bogliasco/,,,"December 2, 2024",Yes,,,,Becas especiales de la Fundación Bogliasco para artistas,Fundación Bogliasco,0,,,
Cursos de verano en Hungría para artistas,,Hungría,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-estatales-bilaterales-para-cursos-de-verano,Hungría,"Grado, Posgrado, Artistas",,No,"47.4979, 19.0402",47.4979,19.0402,Becas estatales bilaterales para cursos de verano en Hungría,,0,,,
Estudios parciales en Hungría,Becas de Intercambio,Hungría,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-estatales-bilaterales-para-estudios-parciales,Hungría,"Grado, Posgrado",,No,"47.4979, 19.0402",47.4979,19.0402,Becas estatales bilaterales para estudios parciales en Hungría,,0,,,
Visitas a Hungría,Becas de Intercambio,Hungría,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-estatales-bilaterales-para-visitas-de-estudio,Hungría,"Grado, Posgrado",,No,"47.4979, 19.0402",47.4979,19.0402,Becas estatales bilaterales para visitas de estudio a Hungría,Becas estatales bilaterales para visitas de estudio a Hungría,0,,,
CONICET jóvenes investigadores,"Becas externas, CONICET, investigadores",Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-argentina/becas-externas-de-conicet-para-jovenes,CONICET,Destacar,,No,"-34.6037, -58.3816",-34.6037,-58.3816,Becas externas de CONICET para jóvenes investigadores y para personal de apoyo en el exterior,,0,,,
FormARTE 2025,,,https://www.recursosculturales.com/becas-formarte/,,,,No,,,,Becas FormARTE de formación y especialización para cultura 2025 (Europa),,0,,,
Fundación Ama Amoedo,Becas Fundación Ama Amoedo,,https://www.revistamagenta.com/becas-fundacion-ama-amoedo/,,,"July 30, 2024",No,,,,Becas Fundación Ama Amoedo,,0,,,
Fundación Ama Amoedo 2° ed.,,,https://hipermedula.org/2024/06/becas-fundacion-ama-amoedo-2-edicion/,,,,No,,,,Becas Fundación Ama Amoedo 2° edición,,0,,,
Fund. Ama Amoedo Artistas,Residencia para artistas,Uruguay,https://www.recursosculturales.com/becas-fundacion-ama-amoedo/,,,"July 30, 2024",No,,,,"Becas Fundación Ama Amoedo para artistas, compromiso social, organizaciones y publicaciones",,0,,,
